id_materie,materie,an,semestru,specializarea,departament
255,Fundamente de inginerie software,2,2,INF,Calculatoare si Tehnologia Informatiei
256,Securitatea informt?iei,2,2,INF,Automatica si Informatica Aplicata
257,Retele de calculatoare,2,2,INF,Automatica si Informatica Aplicata
258,Baze de date,2,2,INF,Automatica si Informatica Aplicata
259,Programare Java,2,2,INF,Automatica si Informatica Aplicata
260,Marketing,2,2,INF,Management
261,Proiect sincretic I A(Proiectarea sistemelor digitale),2,2,INF,Calculatoare si Tehnologia Informatiei
262,Proiect sincretic I B(Tehnici de programare),2,2,INF,Calculatoare si Tehnologia Informatiei
263,Proiect sincretic I C(Structuri de date si algoritmi),2,2,INF,Calculatoare si Tehnologia Informatiei
264,Programarea aplicatiilor multimedia,3,2,INF,Automatica si Informatica Aplicata
265,Programarea aplic. pe platforme reconfig. ,3,2,INF,Calculatoare si Tehnologia Informatiei
266,Proiectarea translatoarelor ,3,2,INF,Calculatoare si Tehnologia Informatiei
267,Sisteme incorporate,3,2,INF,Calculatoare si Tehnologia Informatiei
268,Embedded Systems 2,1,2,AES,Automatica si Informatica Aplicata
269,Dynamic Systems and Stability in Automotive Control,1,2,AES,Automatica si Informatica Aplicata
270,Comunication Skills,1,2,AES,Management
271,Embedded Systems Testing,1,2,AES,Calculatoare si Tehnologia Informatiei
272,Sisteme de conducere adaptiva,1,2,ISA,Automatica si Informatica Aplicata
273,Sisteme de conducere inteligenta,1,2,ISA,Automatica si Informatica Aplicata
274,Sisteme de conducere a miscarii,1,2,ISA,Automatica si Informatica Aplicata
275,Retele wireless si aplicatii in automatica,1,2,ISA,Automatica si Informatica Aplicata
276,Platforme informatice pentru productie si servicii,1,2,SIAPS,Automatica si Informatica Aplicata
277,Automatizari cu echipamente de putere,1,2,SIAPS,Automatica si Informatica Aplicata
278,Tehnici avansate de securizarea datelor si programelor,1,2,SIAPS,Automatica si Informatica Aplicata
279,Programarea moderna a AP-urilor si masinilor cu CNC,1,2,SIAPS,Automatica si Informatica Aplicata
280,Programarea retelelor de calculator,1,2,TI,Calculatoare si Tehnologia Informatiei
281,Sisteme de programare in timp real,1,2,TI,Automatica si Informatica Aplicata
282,Managementul proiectelor software,1,2,TI,Calculatoare si Tehnologia Informatiei
283,Tehnici avansate de criptare si securitate,1,2,TI,Automatica si Informatica Aplicata
284,Aplicatii de e-Health,1,2,SIIS,Automatica si Informatica Aplicata
285,Managementul proiectelor software in aplicatii medicale,1,2,SIIS,Automatica si Informatica Aplicata
286,Sisteme de decizie asistata in ingrijirea sanatatii,1,2,SIIS,Automatica si Informatica Aplicata
287,Dezvoltarea aplicatiilor software pentru domeniul medical,1,2,SIIS,Automatica si Informatica Aplicata
288,Matematici asistate de calculator,1,2,CTI,Calculatoare si Tehnologia Informatiei
289,Matematici speciale,1,2,CTI,Matematica
290,Fundamente de inginerie electronica,1,2,CTI,Electronica Aplicata
291,Fundamente de inginerie electrica,1,2,CTI,Bazele Fizice ale Ingineriei
292,Tehnici de programare,1,2,CTI,Calculatoare si Tehnologia Informatiei
293,Logica digitala,1,2,CTI,Calculatoare si Tehnologia Informatiei
294,Germana 2,1,2,CTI,Comunicare si Limbi Straine
295,Engleza 2,1,2,CTI,Comunicare si Limbi Straine
296,Microeconomie,2,2,CTI,Management
297,Proiectarea si analiza algoritmilor,2,2,CTI,Calculatoare si Tehnologia Informatiei
298,Fundamente de inginerie software,2,2,CTI,Calculatoare si Tehnologia Informatiei
299,Baze de date,2,2,CTI,Calculatoare si Tehnologia Informatiei
300,Organizarea calculatoarelor,2,2,CTI,Calculatoare si Tehnologia Informatiei
301,Circuite integrate,2,2,CTI,Calculatoare si Tehnologia Informatiei
302,Concepte fundam. ale limbajelor de programare,2,2,CTI,Calculatoare si Tehnologia Informatiei
303,Cultura si civilizatie,2,2,CTI,Comunicare si Limbi Straine
304,Bazele inteligentei artificiale,3,2,CTI,Calculatoare si Tehnologia Informatiei
305,Sisteme incorporate,3,2,CTI,Calculatoare si Tehnologia Informatiei
306,Elemente de grafica (si interfete om-calculator),3,2,CTI,Calculatoare si Tehnologia Informatiei
307,Prelucrarea numerica a semnalelor,3,2,CTI,Calculatoare si Tehnologia Informatiei
308,Limbaje formale si tehnici de compilare,3,2,CTI,Calculatoare si Tehnologia Informatiei
309,Sisteme cu microprocesoare,3,2,CTI,Calculatoare si Tehnologia Informatiei
310,Ingineria calculatoarelor,3,2,CTI,Calculatoare si Tehnologia Informatiei
311,Complexitate sicalculabilitate,3,2,CTI,Calculatoare si Tehnologia Informatiei
312,Proiectarea si arhitectura sistemelor software complexe,3,2,CTI,Calculatoare si Tehnologia Informatiei
313,Servicii complexa in retelele de calculatoare,3,2,CTI,Calculatoare si Tehnologia Informatiei
314,Memorii semiconductoare,3,2,CTI,Calculatoare si Tehnologia Informatiei
315,Programarea aplicatiilor distribuite,3,2,CTI,Calculatoare si Tehnologia Informatiei
316,Explorarea datelor,3,2,CTI,Calculatoare si Tehnologia Informatiei
317,Calcul reconfigurabil,4,2,CTI,Calculatoare si Tehnologia Informatiei
318,Fiabilitatea sistemelor de calcul,4,2,CTI,Calculatoare si Tehnologia Informatiei
319,Sisteme expert,4,2,CTI,Calculatoare si Tehnologia Informatiei
320,Managementul proiectelor software,4,2,CTI,Calculatoare si Tehnologia Informatiei
321,Evaluarea performantelor sistemelor de calcul,4,2,CTI,Calculatoare si Tehnologia Informatiei
322,Proiectarea driverelor,4,2,CTI,Calculatoare si Tehnologia Informatiei
323,Calitate si evolutie software,4,2,CTI,Calculatoare si Tehnologia Informatiei
324,Sisteme multimedia,4,2,CTI,Calculatoare si Tehnologia Informatiei
325,Logica fuzzy si aplicatii,4,2,CTI,Calculatoare si Tehnologia Informatiei
326,Structuri tolerante la defecte,4,2,CTI,Calculatoare si Tehnologia Informatiei
327,Computer assisted mathematics,1,2,CTI-ENG,Automatica si Informatica Aplicata
328,Special mathematics,1,2,CTI-ENG,Matematica
329,Electrical engineering fundamentals,1,2,CTI-ENG,Bazele Fizice ale Ingineriei
330,Programming techniques,1,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
331,Digital logic,1,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
332,Electronic devices and measurements,1,2,CTI-ENG,Electronica Aplicata
333,Engleza 2,1,2,CTI-ENG,Comunicare si Limbi Straine
334,Algorithm design and analysis,2,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
